,time,wind,coal,oil,temperature,power,gas
0,2020/1/1,12,84,1.63,-1,2.5,1.9
1,2020/1/8,12.21,84.42,1.62,-1.21,2.2,1.889393939
2,2020/1/15,12.42,84.85,1.61,-1.42,2.05,1.878787879
3,2020/1/22,12.64,85.27,1.6,-1.64,1.85,1.868181818
4,2020/1/29,12.85,85.7,1.59,-1.85,1.76,1.857575758
5,2020/2/5,13.12,85.58,1.59,-1.88,1.78,1.842727273
6,2020/2/12,13.55,84.09,1.58,-1.45,1.79,1.817272727
7,2020/2/19,13.97,82.61,1.57,-1.03,1.8,1.791818182
8,2020/2/26,14.39,81.12,1.56,-0.61,1.83,1.766363636
9,2020/3/4,14.82,79.64,1.55,-0.18,1.8,1.740909091
10,2020/3/11,14.88,77.67,1.51,0.48,1.7,1.714242424
11,2020/3/18,14.67,75.33,1.46,1.33,1.6,1.686666667
12,2020/3/25,14.45,73,1.4,2.18,1.5,1.659090909
13,2020/4/1,14.24,70.67,1.34,3.03,1.45,1.631515152
14,2020/4/8,14.03,68.33,1.28,3.88,1.48,1.603939394
15,2020/4/15,13.64,70.36,1.27,4.36,1.5,1.581818182
16,2020/4/22,13.21,73.12,1.28,4.79,1.53,1.560606061
17,2020/4/29,12.79,75.88,1.28,5.21,1.57,1.539393939
18,2020/5/6,12.36,78.64,1.28,5.64,1.61,1.518181818
19,2020/5/13,11.94,81.15,1.29,6.15,1.9,1.503030303
20,2020/5/20,11.52,82.21,1.3,7.21,2.1,1.524242424
21,2020/5/27,11.09,83.27,1.32,8.27,2.3,1.545454545
22,2020/6/3,10.67,84.33,1.33,9.33,2.5,1.566666667
23,2020/6/10,10.24,85.39,1.35,10.39,2.63,1.587878788
24,2020/6/17,10,86,1.36,11.18,2.6,1.608181818
25,2020/6/24,10,86,1.38,11.61,2.57,1.627272727
26,2020/7/1,10,86,1.4,12.03,2.51,1.646363636
27,2020/7/8,10,86,1.42,12.45,2.48,1.665454545
28,2020/7/15,10,86,1.45,12.88,2.46,1.684545455
29,2020/7/22,9.85,85.55,1.45,13,2.6,1.706666667
30,2020/7/29,9.64,84.91,1.44,13,2.8,1.73
31,2020/8/5,9.42,84.27,1.44,13,3,1.753333333
32,2020/8/12,9.21,83.64,1.43,13,3.2,1.776666667
33,2020/8/19,9,83,1.43,13,3.45,1.8
34,2020/8/26,9.64,84.7,1.43,12.58,3.56,1.806363636
35,2020/9/2,10.27,86.39,1.44,12.15,3.7,1.812727273
36,2020/9/9,10.91,88.09,1.45,11.73,3.8,1.819090909
37,2020/9/16,11.55,89.79,1.46,11.3,3.85,1.825454545
38,2020/9/23,11.64,91.06,1.47,10.82,3.4,1.826969697
39,2020/9/30,10.36,91.27,1.47,10.18,3,1.816363636
40,2020/10/7,9.09,91.48,1.47,9.55,2.8,1.805757576
41,2020/10/14,7.82,91.7,1.47,8.91,2.6,1.795151515
42,2020/10/21,6.55,91.91,1.47,8.27,2.58,1.784545455
43,2020/10/28,5.94,92.36,1.46,7.39,2.5,1.776363636
44,2020/11/4,5.83,93,1.45,6.33,2.45,1.77
45,2020/11/11,5.73,93.64,1.43,5.27,2.4,1.763636364
46,2020/11/18,5.62,94.27,1.42,4.21,2.38,1.757272727
47,2020/11/25,5.52,94.91,1.41,3.15,2.5,1.750909091
48,2020/12/2,5.86,98.45,1.41,2.64,2.8,1.759090909
49,2020/12/9,6.29,102.48,1.42,2.21,3.2,1.76969697
50,2020/12/16,6.71,106.52,1.43,1.79,3.35,1.78030303
51,2020/12/23,7.14,110.55,1.44,1.36,5.38,1.790909091
52,2020/12/30,7.64,114.18,1.45,0.94,5.41,1.803030303
53,2021/1/6,8.59,115.45,1.46,0.52,4.15,1.824242424
54,2021/1/13,9.55,116.73,1.47,0.09,5.46,1.845454545
55,2021/1/20,10.5,118,1.48,-0.33,5.46,1.866666667
56,2021/1/27,11.45,119.27,1.5,-0.76,6,1.887878788
57,2021/2/3,12.09,116.64,1.5,-1.09,4.46,1.904545455
58,2021/2/10,12.3,108.79,1.51,-1.3,3.92,1.915151515
59,2021/2/17,12.52,100.94,1.51,-1.52,4.79,1.925757576
60,2021/2/24,12.73,93.09,1.51,-1.73,3.61,1.936363636
61,2021/3/3,12.94,85.24,1.52,-1.94,5.1,1.946969697
62,2021/3/10,13.3,86.48,1.53,-1.7,4.55,1.954545455
63,2021/3/17,13.73,91.36,1.54,-1.27,3.92,1.960909091
64,2021/3/24,14.15,96.24,1.56,-0.85,3.36,1.967272727
65,2021/3/31,14.58,101.12,1.57,-0.42,5.72,1.973636364
66,2021/4/7,15,106,1.58,0,5.15,1.98
67,2021/4/14,14.79,108.12,1.59,0.64,5.79,1.984242424
68,2021/4/21,14.58,110.24,1.6,1.27,4.59,1.988484848
69,2021/4/28,14.36,112.36,1.61,1.91,6.16,1.992727273
